,Unnamed: 0,id,brand,category,name,size,rating,number_of_reviews,love,price,value_price,options,online_only,exclusive,limited_edition,limited_time_offer,discount,g,mL,dollarpermL,dollarperg
0,1,2044816,Acqua Di Parma,Cologne,Colonia,0.7 oz/ 20 mL,4.5,76,2700,66.0,66.0, - 0.7 oz/ 20 mL  Spray  - 1.7 oz/ 50 mL Eau de Cologne Spray - 3.4 oz/ 101 mL Eau de Cologne Spray,1,0,0,0,0.0,0.0,20.0,3.3,0.0
1,2,1417567,Acqua Di Parma,Perfume,Arancia di Capri,5 oz/ 148 mL,4.5,26,2600,180.0,180.0, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray - 5 oz/ 148 mL Eau de Toilette Spray ,1,0,0,0,0.0,0.0,148.0,1.2162162162162162,0.0
2,3,1417617,Acqua Di Parma,Perfume,Mirto di Panarea,2.5 oz/ 74 mL,4.5,23,2900,120.0,120.0, - 1 oz/ 30 mL Eau de Toilette Spray - 2.5 oz/ 74 mL Eau de Toilette Spray  - 5 oz/ 148 mL Eau de Toilette Spray,1,0,0,0,0.0,0.0,74.0,1.6216216216216217,0.0
3,5,1417609,Acqua Di Parma,Perfume,Fico di Amalfi,5 oz/ 148 mL,4.5,79,2600,180.0,180.0, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray - 5 oz/ 148 mL Eau de Toilette Spray ,1,0,0,0,0.0,0.0,148.0,1.2162162162162162,0.0
4,6,1638832,Acqua Di Parma,Perfume,Rosa Nobile,3.4 oz/ 101 mL,4.5,79,5000,210.0,210.0," - 0.7 oz, 20 mL Eau de Parfum Spray - 1.7 oz/ 50 mL Eau de Parfum Spray - 3.4 oz/ 101 mL Eau de Parfum Spray ",1,0,0,0,0.0,0.0,101.0,2.0792079207920793,0.0
5,7,1284462,Acqua Di Parma,Cologne,Colonia Essenza,1.7 oz/ 50 mL,5.0,13,719,120.0,120.0, - 1.7 oz/ 50 mL Eau de Cologne Spray  - 3.4 oz/ 101 mL Eau de Cologne Spray,1,0,0,0,0.0,0.0,50.0,2.4,0.0
6,8,2221588,Acqua Di Parma,Body Mist & Hair Mist,Peonia Nobile Hair Mist,1.7oz/50mL,4.0,5,800,58.0,58.0, - 1.7oz/50mL  Hair Mist  - 0.70oz/20mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,1.16,0.0
7,9,2221596,Acqua Di Parma,Perfume,Rosa Nobile Hair Mist,1.7oz/50mL,3.0,5,2100,58.0,58.0, - 1.7oz/50mL  Hair Mist ,1,1,0,0,0.0,0.0,50.0,1.16,0.0
8,10,2243699,Acqua Di Parma,Perfume,Cipresso di Toscana,2.5 oz / 75 mL,3.5,3,87,120.0,120.0, - 1 oz / 30 mL Eau de Toilette Spray - 2.5 oz / 75 mL Eau de Toilette Spray ,1,0,0,0,0.0,0.0,75.0,1.6,0.0
9,11,1417633,Acqua Di Parma,Perfume,Bergamotto di Calabria,2.5 oz/ 74 mL,4.5,16,1900,120.0,120.0, - 1 oz/ 30 mL Eau de Toilette Spray - 2.5 oz/ 74 mL Eau de Toilette Spray ,0,0,0,0,0.0,0.0,74.0,1.6216216216216217,0.0
